id,num_rhyming_lines,num_perfectly_rhyming_lines,num_lines,rhyming_line_pairs
english-ed2/ep2438/Z300661875,35.0,25.0,35.0,"[('Ah! sweet were the days, and the nights and the showers,', 'Where rank weeds strangle the helpless flowers,', 0), ('In the garden we loved that is now a waste,', 'And the paths are choked, and the beds defaced,', 0.7280109889280518), ('And the paths are choked, and the beds defaced,', 'And the vines hang lose from the wall, displaced', 0.36055512754639896), ('By wild wet weather and wrecking storms,', 'And the mould is riddled by restless worms.', 0.6123724356957945), ('Ah! sweet were the days, and the nights and the apples,', 'Where the light sheds twinkling globes and dapples', 0), ('In the garden we loved that is now undone,', 'As it filters through from the glaring sun,', 0), ('In the garden we loved that is now undone,', ""And the grass is pierced by the field rat's run,"", 0), ('And the drouth hath withered the trees, and the fruit', 'Gets no more life from the shriveled root.', 0), ('Ah! sweet were the days, and the nights and the guavas,', 'Where the clods are harder than hard-baked lavas,', 0.8366600265340756), ('In the garden we loved that neglect hath spoiled,', 'And the net hangs rend where the spider toiled,', 0), ('In the garden we loved that neglect hath spoiled,', 'And the snake lies close in the rose bush coiled,', 0), ('And the soothing sap of the spring is dry', 'That moved last year when the sun road high.', 0), ('Ah! sweet were the days, and the nights and the peaches', 'Where soft light gleamed on the soft green reaches,', 0), ('In the garden we loved that is all but dead,', 'And the singing world was assoiled of dread,', 0), ('In the garden we loved that is all but dead,', 'And dawn scents blue from the violet bed,', 0.5), ('And all things lovely, and sweet and rare', 'Trembled and glowed in the balmy air.', 0.44095855184409843), ('Ah! sweet were the days and the nights and the roses,', 'And sweet as the scent of a flower that closes,', 0), ('In the garden we loved that is now forlorn,', 'When the pale light fades and the night is born,', 0), ('In the garden we loved that is now forlorn,', 'So sweet was the breeze from the tossing corn', 0), ('That rippled our hair with its odorous breath', 'Or ever we dreamed of this garden of death.', 0)]"
english/pennecu1/Z200459978,45.0,35.0,50.0,"[(""A country mouse, upon a winter's day,"", 'Met with a city mouse, right smooth and gay,', 0), (""A country mouse, upon a winter's day,"", 'The other to his homely fare and cave.', 1.0), ('The first he was a sober saving beast,', 'Yet on occasions could bestow a feast;', 0), ('What needs we more, he gave him wealth of peas,', 'Scraps of fat bacon, barley, oats, and cheese;', 0), ('Yet on occasions could bestow a feast;', 'Hoping by these to please the gorgeous taste', 0.8246211251235321), ('Hoping by these to please the gorgeous taste', 'Of this his proud and liquorish lipped guest,', 0.5696002496878354), ('While he amongst the chaff himself does stretch,', 'And does on darnel feed, or smallest fetch,', 0), ('The other to his homely fare and cave.', 'The richer grain he to his friend resigned,', 0.9574271077563381), ('The richer grain he to his friend resigned,', 'Since for to please him he bent all his mind.', 0), ('Since for to please him he bent all his mind.', 'In this dull life what pleasure can you find;', 0), ('Will you to men and cities bid adieu,', 'And woods and caves thus sillily pursue;', 0), ('The other to his homely fare and cave.', 'Of worldly comforts when laid in our grave;', 0), ('Then do not slip the tide. These words did rouse,', 'From his low cell, the homely country mouse,', 0), ('Who in a haste gets up, and quickly rose', 'Up from the bed, and with the other goes.', 0), ('Since for to please him he bent all his mind.', 'The moon was shining bright, when first they spied', 0.6871842709362768), ('The other to his homely fare and cave.', 'The neighbouring city, and its walls descried;', 0.6454972243679028), ('Then do not slip the tide. These words did rouse,', 'When straight the city led the country mouse', 0), ('Then do not slip the tide. These words did rouse,', ""Unto a wealthy citizen's fair house;"", 0), ('At length the city mouse thus told his friend,', 'Where silken curtains decked the ivory bed;', 0.8333333333333335), ('The other to his homely fare and cave.', 'Finely embossed, and rich with gold inlaid;', 0.0), ('Hoping by these to please the gorgeous taste', 'The city mouse then placed his country guest', 0.5696002496878354), ('The first he was a sober saving beast,', 'On a rich purple twilt, to grace his feast,', 0), ('Hoping by these to please the gorgeous taste', 'And with great care presents a dainty bit', 0.8544003745317531), ('And with great care presents a dainty bit', 'To the field mouse, but first did taste of it.', 0), ('Since for to please him he bent all his mind.', 'The guest, thus glutted with delicious fare,', 1.0), ('The guest, thus glutted with delicious fare,', 'Puts on a cheerful and obliging air,', 0), ('Since for to please him he bent all his mind.', 'For now his former meanness he forgotten.', 0.8660254037844386), ('The moon was shining bright, when first they spied', ""Alarm'd our guests, and made them quickly rise;"", 0.0), ('Will you to men and cities bid adieu,', 'Each run a several way, how pale they grew,', 0), ('Each run a several way, how pale they grew,', 'When through the hall the horrid noise it flew,', 0), ('The guest, thus glutted with delicious fare,', ""Of wide-mouth'd hounds, which quickly filled the air,"", 0), ('The guest, thus glutted with delicious fare,', 'And cast our mice into a deep despair.', 0), ('When suddenly the doors, with shrieking noise,', 'Then said the country mouse, my friend farewell,', 0.7453559924999299), ('The guest, thus glutted with delicious fare,', 'This life of yours does frighten me Like hell:', 0.7071067811865476), (""Alarm'd our guests, and made them quickly rise;"", 'Welcome sobriety, my chief delight,', 0.6666666666666667), ('Welcome sobriety, my chief delight,', 'With woods and groves where dwells eternal night.', 0)]"
english/wattsisa/Z300523040,15.0,14.0,16.0,"[('There is beyond the sky', 'And holy children, when they die,', 0), ('A heaven of joy and love;', 'Go to that world above.', 0), ('There is a dreadful hell,', 'And everlasting pains:', 1.0), ('And everlasting pains:', 'In darkness, fire, and chains.', 0), ('Can such a wretch as I', 'And may I hope, whenever I die,', 0), ('Escape this cursed end?', 'I shall to heaven ascend?', 0), ('Then will I read and prey,', 'Lest I should be cut off today,', 0), ('While I have life and breath;', ""And sent t'eternal death."", 0)]"
english/hardytho/Z200137433,10.0,8.0,16.0,"[('I am under the bough;', 'Than I am now.', 0), ('No sign of querulousness', 'Shall I show there: strivings and stress', 0.6666666666666667), ('To wear you out', 'Be quite without.', 0), ('This fleeting life-brief blight', 'When I resume my old and right', 0), ('Will have gone passed', 'Place in the Vast.', 0)]"
english/fawkesfr/Z300372956,8.0,8.0,10.0,"[('To speak thy praise all eloquence is faint,', ""Except the style's expressive as thy paint:"", 0), (""Unless that' enlivened numbers sweetly flow,"", 'As when thy music gave the soul to glow:', 0), ('Unless the Muses polish every line,', 'And draw the good man with a warmth divine,', 0), ('Unless the Muses polish every line,', 'Serenely pious, with the gentlest mind,', 0.6871842709362768), ('Serenely pious, with the gentlest mind,', 'Through life contented, and in death resigned.', 0)]"
english/arnoldma/Z300263435,14.0,12.0,28.0,"[('Yet let me say that thou wast fair;', 'Why should they ask if truth be there?', 0), ('Truth -- what is truth? Two bleeding hearts,', 'Outwearied with their lonely parts,', 0), ('Wounded by men, by fortune tried,', 'Vow to beat henceforth side by side.', 0), ('Their lot was but to weep and moan.', 'For neither could subsist alone!', 0), ('The world to them may homage make,', 'And what the world can give, they take --', 0), ('They shine upon the world! Their ears', 'They will not give us love and tears,', 0.6666666666666666), ('To one demand alone are coy;', 'They bring us light and warmth and joy.', 0)]"
english/boldhenr/Z300283763,40.0,24.0,56.0,"[('Let half God Bacchus, now resign,', ""Pomona's Juyce, is more Divine,"", 0), ('His Demy-ships, usurped Place!', 'More Soveraign, her Grace;', 0), ('Queen Apple! She,', 'My Love shall be,', 0), ('More Soveraign, her Grace;', ""And Blood oath' Grape,"", 0.0), ('Let half God Bacchus, now resign,', 'Must yield to puissant Cyder.', 0.9428090415820635), ('This, was the Nectar, warmed the Gods,', 'Nor must the Mortal, know the ods,', 0.6666666666666667), ('While Adam Wight, in Eden, Delves:', 'Reserved for themselves,', 0), ('Till Medling Eve,', 'Laught in her sleeve,', 0), ('To have a Tast,', 'Of the Fruit (at last)', 0.8768630958643938), ('This done, the Old Boy, she did call', 'To squeeze, and drink, Flesh could not Fall,', 0), ('To Tast, and Eat; had He been Wise,', ""'TO had, rather made it Rise:"", 0.7453559924999299), ('The Trojan Youth,', 'Had never (in truth)', 0.8975274678557507), (""'TO had, rather made it Rise:"", 'Which pressed, and tried,', 0.0), ('Which pressed, and tried,', 'Made Potable Gold, for a Cyder.', 0.0), ('For with the Thought,', 'Of this he fought,', 0), (""A Dragon watched th'Hesperides,"", 'Had the Jawes of the Beast, been Wider,', 0.824621125123532), (""A Dragon watched th'Hesperides,"", 'For a powerful Rummer of Cyder.', 0.5962847939999439), ('Are Heathenish Drinks, compared to this,', ""That Water (too) Unchristen'd, late"", 0.8333333333333334), (""That Water (too) Unchristen'd, late"", ""Sirnam'd Mirabilis:"", 0.8333333333333335), ('Let Spain and France,', 'Their Wines Advance,', 0), ('Those of this Isle,', 'Are blessed the while,', 0.7264831572567789), ('Are blessed the while,', 'Whom Nature befriends with her bounty', 0.9327379053088816), ('Those of this Isle,', 'If this Song fail,', 0.9428090415820635), ('If this Song fail,', ""'Tis long of Ale,"", 0), ('Whom Nature befriends with her bounty', 'Being Shire of Another County.', 0)]"
english-ed2/miscell3/Z300641721,34.0,30.0,36.0,"[('Go by, Like giant things of life,', 'First from the fields of human strife;', 0), (""The railway's heavy-freighted trains"", 'But there the wilderness remains.', 0), ('Scarce heed the trains that passed them glide,', 'The trains that never turn aside', 0), ('Where loving hands, for his dear sake,', 'A garden for the dead will make --', 0), ('All wild beyond the one dear spot,', 'For Death himself a garden plot.', 0), ('At morn and evening softly calls;', 'The rains but bring the waterfalls;', 0), ('The lyre-bird from the ferny glen,', 'And never comes the noise of men.', 0), ('Still toiling through the silent hours,', 'To make a bed for forest flowers --', 0.82915619758885), (""They rend the mountain's rocky breast,"", 'A bed for his unbroken rest.', 0), ('With pick and spade, all through the night;', 'They made it by the fitful light', 0), ('All night they toiled to make his grave,', 'The clouded moon in pity gave.', 0), ('Along the lonely path that led', 'Our footsteps to his lonely bed,', 0), ('A lonely spot we chosen for him --', 'His corpse we boar, with eyes all dim.', 0), ('We gently laid him down to sleep --', 'We left him for the grave to keep,', 0), ('With tear-dimmed eyes, and hearts Like led,', 'Until the grave gives up its dead.', 0.5), ('Was gentleness itself, who trod', 'His humble path in fear of God,', 0), ('Fit restingplace for him whose soul', 'And sought no higher earthly goal.', 0)]"
english/mooretho/Z300445264,18.0,12.0,24.0,"[('""Tell me, what\'s Love?"" said Youth, one day,', 'To drooping Age, who crossed his way. --', 1.0), ('""Tell me, what\'s Love?"" said Youth, one day,', '""It is a sunny hour of play,', 0), ('""Tell me, what\'s Love?"" said Youth, one day,', '""For which repentance dear does pay;', 0), ('""Tell me, what\'s Love?"" said Youth, one day,', '""And this is Love, as wise men say.""', 0), ('""Tell me, what\'s Love?"" said Youth once more,', ""Fearful, yet found, of Age's lore. --"", 0), ('""Soft as a passing summer\'s wind,', '""Would\'st know the blight it leaves behind?', 0.6403124237432849), ('""Tell me, what\'s Love?"" said Youth again,', 'Trusting the bliss, but not the pain.', 0.9574271077563381), ('""Sweet as a May tree\'s scented air --', '""Mark you what bitter fruit \'\'twill bear,', 0), ('Just then, young Love himself came by,', 'And cast on Youth a smiling eye;', 0), (""Who could resist that glance's ray?"", 'In vain did Age his warning say,', 0), (""Who could resist that glance's ray?"", 'Youth laughing went with Love away.', 1.0)]"
english-ed2/ep2626/Z300677415,33.0,14.0,40.0,"[('Thou mighty ocean, where we pass upborne', 'A cold, gray sea with flecks of sullen foam,', 1.0), ('In that uneasy tenement a ship;', 'To meet the hissing never-ceasing drip', 0), ('Now sleeping pearly soft with shimmering haze;', 'Of ashen skies, impenetrably gray;', 1.0), ('No east, no west, no forward, no return,', 'Sits bowed on aimless oars, and ever turns', 0.8975274678557507), ('That ever rears itself impatiently', 'A hopeless eye on barren sky and sea.', 0), ('Now sleeping pearly soft with shimmering haze;', 'A silver plain with softly rippling waves:', 0.6110100926607788), (""But in the poet's heart they cannot die."", 'A great moon hanging in a cloudless sky:', 0), ('Now sleeping pearly soft with shimmering haze;', 'A wayward breeze that gently fills the sail,', 0.6666666666666667), ('That ever rears itself impatiently', 'The sky looks peace, and peace smiles out the sea,', 0), ('And slowly sinks the moon and droops the breeze', 'And die, until the restless waters sleep.', 1.0), ('To meet the hissing never-ceasing drip', 'The softest gales are wafting on the ship', 0), ('A plashing prow, a far-off gleaming wake.', ""O'er sunlit gently swelling waves, that break"", 0.6871842709362768), ('A plashing prow, a far-off gleaming wake.', 'Beneath the prow to foam sky-blue, or white', 0.7071067811865476), ('And in the amid a boat, wherein a man', 'As new drift snow, while far on either hand', 0.8975274678557508), ('A silver plain with softly rippling waves:', 'The flying-fish with rainbow-tinted sides', 0.7681145747868608), ('Of ashen skies, impenetrably gray;', 'Flash frightened, and a school of porpoise play', 0), ('A wayward breeze that gently fills the sail,', 'Their heavy gambols, hurtling through the air,', 0.7993052538854533), ('And slowly sinks the moon and droops the breeze', 'A ship that plunges shuddering down the heave', 0.0), ('In that uneasy tenement a ship;', ""Of giant rollers, 'mid the yeasty drift"", 0.6871842709362768), ('Thy rage and glory pass and leave no sign,', 'From straining cordage, while the frantic wind', 0.7180219742846006), ('And slowly sinks the moon and droops the breeze', 'Is howling, Like a famished beast that sees', 0), ('Of ashen skies, impenetrably gray;', 'But follows up and down and shrieks its rage;', 0.0), ('Thy rage and glory pass and leave no sign,', 'So flies the ship and on her track the wind.', 0.7180219742846006)]"
